VehicleID,VehModelID,Model,Manufacturer,VehDetails,Color,EngineCapacity,FuelType,ManufYear,Cost
1005,34,Yakua Delta Lfp,Yakuza,"Runs on rechargeable( Lfp),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Grey,250w,Electric,2023,92000
1006,34,Yakua viraj Lfp,Yakuza,"Runs on rechargeable( Lfp),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Red,250w,Electric,2022,89764.4
1007,34,Yakua lundafei Lfp,Yakuza,"Runs on rechargeable( Lfp),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Black,250w,Electric,2022,88752.4
1008,34,Yakua Neu Lfp,Yakuza,"Runs on rechargeable( Lfp),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Red,250w,Electric,2024,90563.2
1009,34,Yakua 1000 Lfp,Yakuza,"Runs on rechargeable( Lfp),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Red,250w,Electric,2024,90850
1010,27,XGT CAT 2.0,Komaki,"Runs on rechargeable( Li-ion,Lead Acid,LFP),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Grey,250w,Electric,2022,90804
1011,27,XGT CAT 2.0 Standard,Komaki,"Runs on rechargeable( Li-ion,Lead Acid,LFP),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Grey,250w,Electric,2022,77970
1012,27,XGT CAT 2.0 Advanced,Komaki,"Runs on rechargeable( Li-ion,Lead Acid,LFP),cost effective,no emission,eco friendly range upto 50-80km(reusable)",Red,250w,Electric,2022,90990.9
1013,23,pulsor 180,Bajaj Motors,"Runs on petrol, mileage 40-60kmph,ideal for city commuting and easy handling",Black,180,Petrol,2021,101920
1014,35,hero xpulse basic variant ,Hero Electric,"Runs on petrol, mileage 40-60kmph,ideal for city commuting and easy handling",Blue,110,Petrol,2023,103040
1015,35,hero xpulse Advance variant ,Hero Electric,"Runs on petrol, mileage 40-60kmph,ideal for city commuting and easy handling",Black,110,Petrol,2022,122850
